word,translation,category
"a, ab (+Abl)","(stran) od, iz","preposition"
"aedifico 1 aedificare","(z)gradim","verb (1st conjugation -are)"
"Aeolus, -i, m","Eol (vladar vetrov)","noun (2nd declension -us)"
"ager, agri, m","polje","noun (2nd declension -er)"
"ala, -ae, f","krilo","noun (1st declension -a)"
"amicus, -i, m","prijatelj","noun (2nd declension -us)"
"ante (+Ak)","pred","preposition"
"aqua, -ae, f","voda","noun (1st declension -a)"
"Ariadna, -ae, f","Ariadna (hči Minosa in Pazifae, ki je Tezeju, ki je prišel na Kreto pokončat Minotavra, dala klobčič niti, da je našel pot iz labirinta; nato je z njim odšla s Krete, vendar jo je Tezej zapustil na otoku Naksosu, kjer jo je našel bog Dioniz in se z njo poročil)","noun (1st declension -a)"
"arma, -orum, n (pl. t.)","orožje; boj, vojna","noun (2nd declension -um neuter, plural)"
"audacia, -ae, f","(pre)drznost, pogum","noun (1st declension -a)"
"auxilium, -ii, n","pomoč","noun (2nd declension -um neuter)"
"beneficium, -ii, n","dobrota, dobro dejanje","noun (2nd declension -um neuter)"
"bonum, -i, n","dobro","noun (2nd declension -um neuter)"
"brachium, -ii, n","roka, podlaket","noun (2nd declension -um neuter)"
"Brutus, -i, m","Brut","noun (2nd declension -us)"
"cado 3 cadere","padem, padam","verb (3rd conjugation -ere)"
"caelum, -i, n","nebo","noun (2nd declension -um neuter)"
"capio 3 capere","zgrabim, ujamem; zavzamem, osvojim","verb (3rd conjugation -io variant)"
"claudo 3 claudere","zaprem, zapiram","verb (3rd conjugation -ere)"
"conficio 3 conficere","napravim, naredim, izdelam","verb (3rd conjugation -io variant)"
"Creta, -ae, f","Kreta (največji grški otok)","noun (1st declension -a)"
"Daedalus, -i, m","Dedal (atenski umetnik, ki je na Kreti kralju Minosu zgradil labirint, Ikarjev oče)","noun (2nd declension -us)"
"de (+Abl)","o, od","preposition"
"delphinus, -i, m","delfin","noun (2nd declension -us)"
"deus, -i, m","bog","noun (2nd declension -us)"
"dico 3 dicere","rečem, pravim","verb (3rd conjugation -ere)"
"discipulus, -i, m","učenec","noun (2nd declension -us)"
"disco 3 discere","učim se","verb (3rd conjugation -ere)"
"dominus, -i, m","gospod, gospodar","noun (2nd declension -us)"
"donum, -i, n","darilo, dar","noun (2nd declension -um neuter)"
"dubium, -ii, n","dvom","noun (2nd declension -um neuter)"
"dum","dokler, dokler ne, medtem ko","conjunction"
